Run Number,Lattice Length,Probability,Survival Time,Starting Position,Final Position,Initial Energy,Maximum Time
140,5,0.83333,484,5,4,50,1000
141,5,0.83333,1000,5,2,50,1000
142,5,0.83333,834,5,5,50,1000
143,5,0.83333,1000,5,2,50,1000
144,5,0.83333,542,5,3,50,1000
145,5,0.83333,1000,0,0,50,1000
146,5,0.83333,956,5,2,50,1000
147,5,0.83333,1000,0,4,50,1000
148,5,0.83333,1000,5,3,50,1000
149,5,0.857143,246,0,0,50,1000
150,5,0.857143,1000,0,0,50,1000
151,5,0.857143,1000,5,2,50,1000
152,5,0.857143,1000,0,5,50,1000
153,5,0.857143,1000,5,5,50,1000
154,5,0.857143,1000,0,2,50,1000
155,5,0.857143,1000,5,3,50,1000
156,5,0.857143,1000,0,3,50,1000
157,5,0.857143,1000,5,5,50,1000
158,5,0.857143,1000,0,0,50,1000
159,6,0.8,206,0,4,50,1000
160,6,0.8,164,6,3,50,1000
161,6,0.8,226,6,6,50,1000
162,6,0.8,244,6,3,50,1000
163,6,0.8,172,6,1,50,1000
164,6,0.8,220,6,5,50,1000
165,6,0.8,252,6,1,50,1000
166,6,0.8,106,6,4,50,1000
167,6,0.8,272,6,3,50,1000
168,6,0.8,94,6,4,50,1000
169,6,0.83333,714,0,4,50,1000
170,6,0.83333,158,0,0,50,1000
171,6,0.83333,446,6,2,50,1000
172,6,0.83333,1000,0,6,50,1000
173,6,0.83333,142,6,2,50,1000
174,6,0.83333,1000,6,4,50,1000
175,6,0.83333,122,0,6,50,1000
176,6,0.83333,166,0,4,50,1000
177,6,0.83333,94,6,2,50,1000
178,6,0.83333,422,6,4,50,1000
179,6,0.857143,516,0,3,50,1000
180,6,0.857143,1000,0,6,50,1000
181,6,0.857143,1000,0,6,50,1000
182,6,0.857143,1000,0,0,50,1000
183,6,0.857143,1000,0,0,50,1000
184,6,0.857143,482,6,2,50,1000
185,6,0.857143,1000,0,6,50,1000
186,6,0.857143,1000,0,0,50,1000
187,6,0.857143,1000,0,6,50,1000
188,6,0.857143,970,0,0,50,1000
189,5,0.7,98,5,1,120,98
